Version	GMID-X v 1.0							
Kit type:	MICROSATELLITE							
Chemistry Kit	PowerPlex_Fusion_Panels_IDX_v1.0	null						
Panel	PowerPlex_Fusion_Panels_IDX_v1.0	null						
AMEL	blue	80	92	X, Y	6	none	X, Y
D3S1358	blue	93	150	17,18	4	none	9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
D1S1656	blue	151	207	12,13	4	none	9, 10, 11, 12, 13, 14, 14.3, 15, 15.3, 16, 16.3, 17, 17.3, 18, 18.3, 19, 19.3, 20.3
D2S441	blue	207.5	247.5	10,14	4	none	8, 9, 10, 11, 11.3, 12, 13, 14, 15, 16, 17
D10S1248	blue	248	295	13,15	4	none	8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
D13S317	blue	295.2	350	9,11	4	none	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
Penta E	blue	354.5	474.9	7,14	5	none	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24
D16S539	green	73	129	9,13	4	none	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
D18S51	green	129.1	215.5	16,18	4	none	7, 8, 9, 10, 10.2, 11, 12, 13, 13.2, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27
D2S1338	green	218	299	22,25	4	none	10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28
CSF1PO	green	309	363	12	4	none	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
Penta D	green	370	461	12,13	5	none	2.2, 3.2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
TH01	yellow	69	118	6,9.3	4	none	3, 4, 5, 6, 7, 8, 9, 9.3, 10, 11, 13.3
vWA	yellow	122	192	16,19	4	none	10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24
D21S11	yellow	198	266.5	29,31.2	4	none	24, 24.2, 25, 25.2, 26, 27, 28, 28.2, 29, 29.2, 30, 30.2, 31, 31.2, 32, 32.2, 33, 33.2, 34, 34.2, 35, 35.2, 36, 37, 38
D7S820	yellow	267	316	8,11	4	none	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
D5S818	yellow	316.5	379	12	4	none	6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18
TPOX	yellow	387	443.5	11	4	none	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
DYS391	yellow	443.6	495	10	4	none	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
D8S1179	red	72	131.2	14,15	4	none	7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
D12S391	red	131.4	191	18,23	4	none	14, 15, 16, 17, 17.3, 18, 18.3, 19, 20, 21, 22, 23, 24, 25, 26, 27
D19S433	red	191.5	256.5	13,14	4	none	5.2, 6.2, 8, 9, 10, 11, 12, 12.2, 13, 13.2, 14, 14.2, 15, 15.2, 16, 16.2, 17, 17.2, 18, 18.2
FGA	red	257	415	20,23	4	none	14, 15, 16, 17, 18, 18.2, 19, 19.2, 20, 20.2, 21, 21.2, 22, 22.2, 23, 23.2, 24, 24.2, 25, 25.2, 26, 27, 28, 29, 30, 31.2, 32.2, 33.2, 42.2, 43.2, 44.2, 45.2, 46.2, 48.2, 50.2
D22S1045	red	420	472	16	3	none	7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
